URL,Violations,Status of issue,Comment
https://www.letstalk.wellington.govt.nz/kilbirnie-park-masterplan,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/kilbirnie-park-masterplan,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/te-whai-oranga-poneke-open-space-and-recreation-strategy,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/te-whai-oranga-poneke-open-space-and-recreation-strategy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/bowling-club-newtown,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/bowling-club-newtown,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/cats-in-wellington-survey,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/cats-in-wellington-survey,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/elizabeth-street-upgrades,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/elizabeth-street-upgrades,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-june-2023-traffic-and-parking-restrictions,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-june-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/subscribe-ltp-2024-34,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/subscribe-ltp-2024-34,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/miramar-minor-safety-works,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/miramar-minor-safety-works,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/frederick-street-park,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/frederick-street-park,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-july-2023-traffic-and-parking-restrictions,"duplicate-id, empty-heading, link-name, region",Violation,
